figure_type,figure_no,title_name,variable,flip_sign,variable_rename,regions,models,years,scenarios,type,position,x,y,facet1,facet2,color,page_filter,scales
stackbar,6,Capacity Additions Alt,Capacity Additions|Electricity|Coal|w/o CCS|Average 2021-2035,0,Coal,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,6,Capacity Additions Alt,Capacity Additions|Electricity|Coal|w/ CCS|Average 2021-2035,0,Coal CCS,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,6,Capacity Additions Alt,Capacity Retirements|Electricity|Coal|w/o CCS|Average 2021-2035,0,Coal,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,6,Capacity Additions Alt,Capacity Retirements|Electricity|Coal|w/ CCS|Average 2021-2035,0,Coal CCS,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,6,Capacity Additions Alt,Capacity Additions|Electricity|Hydro|Average 2021-2035,0,Hydro,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,6,Capacity Additions Alt,Capacity Retirements|Electricity|Hydro|Average 2021-2035,0,Hydro,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,6,Capacity Additions Alt,Capacity Additions|Electricity|Nuclear|Average 2021-2035,0,Nuclear,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,6,Capacity Additions Alt,Capacity Retirements|Electricity|Nuclear|Average 2021-2035,0,Nuclear,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,6,Capacity Additions Alt,Capacity Additions|Electricity|Solar|Average 2021-2035,0,Solar,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,6,Capacity Additions Alt,Capacity Retirements|Electricity|Solar|Average 2021-2035,0,Solar,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,6,Capacity Additions Alt,Capacity Additions|Electricity|Wind|Average 2021-2035,0,Wind,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,6,Capacity Additions Alt,Capacity Retirements|Electricity|Wind|Average 2021-2035,0,Wind,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,6,Capacity Additions Alt,Capacity Additions|Electricity|Storage Capacity|Average 2021-2035,0,Storage,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,6,Capacity Additions Alt,Capacity Retirements|Electricity|Storage Capacity|Average 2021-2035,0,Storage,usa,models_leep,fives,ira_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,7,Emissions Direct,Emissions|CO2|Energy|Demand|Transportation|Oil,0,Oil,usa,models_ghgi_only,five_twentyone,historic_only,grid,stack,variable,value,year,model,variable_rename,region,fixed
