variable,unit,model,2020,2025,2030,2035
Utility-Scale Solar PV,Capital Costs (2020$/kW),OP-NEMS-Mod,,960.7947829,735.5072246,702.7371567
Utility-Scale Solar PV,Capital Costs (2020$/kW),OP-NEMS-Adv,,902.5370414,604.4271881,567.2581881
Wind Onshore,Capital Costs (2020$/kW),OP-NEMS-Mod,,1160.974416,914.532081,868.8054273
Wind Onshore,Capital Costs (2020$/kW),OP-NEMS-Adv,,1040.641209,673.8657254,631.7491617
NGCC with CCS,Capital Costs (2020$/kW),OP-NEMS-Mod,,1759.8145,1648.636797,1526.441299
NGCC with CCS,Capital Costs (2020$/kW),OP-NEMS-Adv,,1739.782448,1597.555016,1422.274556
NGCC,Capital Costs (2020$/kW),OP-NEMS-Mod,,967.2227112,894.9873875,854.4868466
NGCC,Capital Costs (2020$/kW),OP-NEMS-Adv,,967.7612288,894.991562,852.5324718
Battery Storage (4-Hour),Capital Costs (2020$/kW),OP-NEMS-Mod,,871.9909009,699.6911045,682.6985774
Battery Storage (4-Hour),Capital Costs (2020$/kW),OP-NEMS-Adv,,1006.810806,681.0778501,638.5105612
Utility-Scale Solar PV,Capital Costs (2020$/kW),IPM-EPA,,,768.1517445,734.7538426
Wind Onshore,Capital Costs (2020$/kW),IPM-EPA,,,920.9724473,875.4298538
NGCC with CCS,Capital Costs (2020$/kW),IPM-EPA,,,2295.346715,2084.838727
NGCC,Capital Costs (2020$/kW),IPM-EPA,,,988.7803088,915.9121592
Battery Storage (4-Hour),Capital Costs (2020$/kW),IPM-EPA,,,793.4531854,743.8623613
Coal CCS Retrofit,Capital Costs (2020$/kW),IPM-EPA,,,2136.352461,2136.352461
