"model","scenario","year","variable","value","unit","region"
"EIA","Historic",2005,"Primary Energy|Oil",42.4307254406902,"EJ/yr","United States"
"EIA","Historic",2006,"Primary Energy|Coal",23.6830075326976,"EJ/yr","United States"
"EIA","Historic",2006,"Primary Energy|Gas",23.4631106817828,"EJ/yr","United States"
"EIA","Historic",2006,"Primary Energy|Oil",41.9179092131891,"EJ/yr","United States"
"EIA","Historic",2007,"Primary Energy|Coal",24.0019572472797,"EJ/yr","United States"
"EIA","Historic",2007,"Primary Energy|Gas",24.9655323720866,"EJ/yr","United States"
"EIA","Historic",2007,"Primary Energy|Oil",41.5350326094409,"EJ/yr","United States"
"EIA","Historic",2008,"Primary Energy|Coal",23.6199964320115,"EJ/yr","United States"
"EIA","Historic",2008,"Primary Energy|Gas",25.1556471063936,"EJ/yr","United States"
"EIA","Historic",2008,"Primary Energy|Oil",38.7937527313763,"EJ/yr","United States"
"EIA","Historic",2009,"Primary Energy|Coal",20.7753210803902,"EJ/yr","United States"
"EIA","Historic",2009,"Primary Energy|Gas",24.7051245415988,"EJ/yr","United States"
"EIA","Historic",2009,"Primary Energy|Oil",36.6939457566489,"EJ/yr","United States"
"EIA","Historic",2010,"Primary Energy|Coal",21.9809998716978,"EJ/yr","United States"
"EIA","Historic",2010,"Primary Energy|Gas",25.9277380343968,"EJ/yr","United States"
"EIA","Historic",2010,"Primary Energy|Oil",37.2651118480791,"EJ/yr","United States"
"EIA","Historic",2011,"Primary Energy|Coal",20.7400600587398,"EJ/yr","United States"
"EIA","Historic",2011,"Primary Energy|Gas",26.328432421384,"EJ/yr","United States"
"EIA","Historic",2011,"Primary Energy|Oil",36.5462632586225,"EJ/yr","United States"
"EIA","Historic",2012,"Primary Energy|Coal",18.3350074898999,"EJ/yr","United States"
"EIA","Historic",2012,"Primary Energy|Gas",27.5249111256568,"EJ/yr","United States"
"EIA","Historic",2012,"Primary Energy|Oil",35.6957922313282,"EJ/yr","United States"
"EIA","Historic",2013,"Primary Energy|Coal",19.0317653199143,"EJ/yr","United States"
"EIA","Historic",2013,"Primary Energy|Gas",28.2809135069634,"EJ/yr","United States"
"EIA","Historic",2013,"Primary Energy|Oil",36.2917320892338,"EJ/yr","United States"
"EIA","Historic",2014,"Primary Energy|Coal",18.988506974901,"EJ/yr","United States"
"EIA","Historic",2014,"Primary Energy|Gas",28.8904182179661,"EJ/yr","United States"
"EIA","Historic",2014,"Primary Energy|Oil",36.5659432154415,"EJ/yr","United States"
"EIA","Historic",2015,"Primary Energy|Coal",16.4049262951275,"EJ/yr","United States"
"EIA","Historic",2015,"Primary Energy|Gas",29.7431797715164,"EJ/yr","United States"
"EIA","Historic",2015,"Primary Energy|Oil",37.3153493875574,"EJ/yr","United States"
"EIA","Historic",2016,"Primary Energy|Coal",15.0091243290661,"EJ/yr","United States"
"EIA","Historic",2016,"Primary Energy|Gas",29.9639575940681,"EJ/yr","United States"
"EIA","Historic",2016,"Primary Energy|Oil",37.6780522683477,"EJ/yr","United States"
"EIA","Historic",2017,"Primary Energy|Coal",14.5992984336744,"EJ/yr","United States"
"EIA","Historic",2017,"Primary Energy|Gas",29.5996900654484,"EJ/yr","United States"
"EIA","Historic",2017,"Primary Energy|Oil",38.0275426846957,"EJ/yr","United States"
"EIA","Historic",2018,"Primary Energy|Coal",13.9811063927812,"EJ/yr","United States"
"EIA","Historic",2018,"Primary Energy|Gas",32.8785303959255,"EJ/yr","United States"
"EIA","Historic",2018,"Primary Energy|Oil",38.9229306048036,"EJ/yr","United States"
"EIA","Historic",2019,"Primary Energy|Coal",11.9385847306276,"EJ/yr","United States"
"EIA","Historic",2019,"Primary Energy|Gas",34.0399970717291,"EJ/yr","United States"
"EIA","Historic",2019,"Primary Energy|Oil",38.8960910389688,"EJ/yr","United States"
"EIA","Historic",2020,"Primary Energy|Coal",9.68658278399215,"EJ/yr","United States"
"EIA","Historic",2020,"Primary Energy|Gas",33.2875681645953,"EJ/yr","United States"
"EIA","Historic",2020,"Primary Energy|Oil",34.1111521485415,"EJ/yr","United States"
"EIA","Historic",2021,"Primary Energy|Coal",11.1279716033336,"EJ/yr","United States"
"EIA","Historic",2021,"Primary Energy|Gas",33.0682115022771,"EJ/yr","United States"
"EIA","Historic",2021,"Primary Energy|Oil",37.1830559341974,"EJ/yr","United States"
