Round,Category,Tier,Variable,Unit,Definition
2,CCS,3,Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity|Retrofit,Mt CO2/yr,total CO2 emissions sequestered from combustion in electricity production from biomass (retrofit). Report as NEGATIVE
2,CCS,2,Carbon Sequestration|CCS|Biomass|Energy|Supply|Heat,Mt CO2/yr,total CO2 emissions sequestered from bioenergy combustion in heat production. Report as NEGATIVE
2,CCS,2,Carbon Sequestration|CCS|Biomass|Energy|Supply|Hydrogen,Mt CO2/yr,total CO2 emissions sequestered from bioenergy combustion in hydrogen production. Report as NEGATIVE
2,CCS,2,Carbon Sequestration|CCS|Biomass|Energy|Supply|Petroleum Refining,Mt CO2/yr,total CO2 emissions sequestered from bioenergy combustion in petroleum refining. Report as NEGATIVE
2,CCS,2,Carbon Sequestration|CCS|Biomass|Energy|Supply|Synthetic Gas,Mt CO2/yr,total CO2 emissions sequestered from bioenergy combustion in synthetic gas production. Report as NEGATIVE
2,CCS,2,Carbon Sequestration|CCS|Biomass|Energy|Supply|Synthetic Liquids,Mt CO2/yr,total CO2 emissions sequestered from bioenergy combustion in synthetic liquids production. Report as NEGATIVE
2,CCS,1,Carbon Sequestration|CCS|Biomass|Industrial Processes,Mt CO2/yr,"total CO2 emissions sequestered from non-combustion biomass use in industrial processes, report as a NEGATIVE"
2,CCS,3,Carbon Sequestration|CCS|Biomass|Industrial Processes|EInt Mfg,Mt CO2/yr,total CO2 emissions sequestered from non-combustion biomass use in intensive manufacturing. Report as a NEGATIVE value
2,CCS,3,Carbon Sequestration|CCS|Biomass|Industrial Processes|EInt Mfg|Aluminum,Mt CO2/yr,total CO2 emissions sequestered from non-combustion biomass use in aluminum manufacturing. Report as a NEGATIVE value
2,CCS,3,Carbon Sequestration|CCS|Biomass|Industrial Processes|EInt Mfg|Bulk chemicals,Mt CO2/yr,total CO2 emissions sequestered from non-combustion biomass use in bulk chemical production. Report as a NEGATIVE value
2,CCS,3,Carbon Sequestration|CCS|Biomass|Industrial Processes|EInt Mfg|Cement and Lime,Mt CO2/yr,total CO2 emissions sequestered from non-combustion biomass use in cement and lime production. Report as a NEGATIVE value
