model,scenario,region,variable,unit,year,value,datasrc
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Crops,Million t DM/yr,2100,1864.446653,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Livestock,Million t DM/yr,2010,136.1766237,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Livestock,Million t DM/yr,2015,140.3280871,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Livestock,Million t DM/yr,2020,146.4851308,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Livestock,Million t DM/yr,2025,155.4594993,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Livestock,Million t DM/yr,2030,163.2579383,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Livestock,Million t DM/yr,2035,170.4561567,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Livestock,Million t DM/yr,2040,177.533795,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Livestock,Million t DM/yr,2045,184.3817598,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Livestock,Million t DM/yr,2050,190.869193,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Livestock,Million t DM/yr,2055,197.006802,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Livestock,Million t DM/yr,2060,203.2504179,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Livestock,Million t DM/yr,2065,209.407098,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Livestock,Million t DM/yr,2070,215.1412249,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Livestock,Million t DM/yr,2075,220.2829105,emf37_usacanmex.csv
GCAM-EMF,NT.IRA.Ref,United States,Agricultural Production|Non-Energy|Livestock,Million t DM/yr,2080,224.6421083,emf37_usacanmex.csv
