model,scenario,region,variable,unit,year,value
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,2030,0
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,2030,2.024239757
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,2030,0.018885721
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,2030,0
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Wind,EJ/yr,2030,4.153393987
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Hydrogen,EJ/yr,2030,0
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Other,EJ/yr,2030,0.115975551
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Nuclear,EJ/yr,2030,2.537962518
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,2030,2.566413289
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Solar,EJ/yr,2030,2.671708159
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Hydro,EJ/yr,2035,1.050210801
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,2035,0.162938103
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,2035,0
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,2035,1.79982223
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,2035,0.021088749
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,2035,0
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Wind,EJ/yr,2035,4.711388036
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Hydrogen,EJ/yr,2035,0
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Other,EJ/yr,2035,0.142579134
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Nuclear,EJ/yr,2035,2.013462321
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,2035,2.401640076
Haiku-RFF,IRA,United States,Secondary Energy|Electricity|Solar,EJ/yr,2035,3.056561367
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Hydro,EJ/yr,2025,1.052369856
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,2025,0.134147847
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,2025,0
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,2025,3.706128102
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,2025,0
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,2025,0
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Wind,EJ/yr,2025,2.657142707
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Hydrogen,EJ/yr,2025,0
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Other,EJ/yr,2025,0.093107386
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Nuclear,EJ/yr,2025,2.710977095
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,2025,3.208195823
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Solar,EJ/yr,2025,1.102625614
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Hydro,EJ/yr,2030,1.052121059
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,2030,0.160499005
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,2030,0
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,2030,3.143182499
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,2030,0
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,2030,0
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Wind,EJ/yr,2030,3.015432746
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Hydrogen,EJ/yr,2030,0
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Other,EJ/yr,2030,0.121176243
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Nuclear,EJ/yr,2030,2.537962518
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,2030,3.635722284
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Solar,EJ/yr,2030,1.617463353
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Hydro,EJ/yr,2035,1.050210801
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,2035,0.169934019
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,2035,0
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,2035,2.856770797
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,2035,0
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,2035,0
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Wind,EJ/yr,2035,3.362398961
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Hydrogen,EJ/yr,2035,0
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Other,EJ/yr,2035,0.150070709
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Nuclear,EJ/yr,2035,2.013462321
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,2035,3.470503362
Haiku-RFF,No IRA,United States,Secondary Energy|Electricity|Solar,EJ/yr,2035,2.259966836
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Hydro,EJ/yr,2025,1.088814435
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,2025,0.145921495
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,2025,0
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,2025,1.845957395
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,2025,0.147209865
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,2025,0
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Wind,EJ/yr,2025,1.88437018
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Hydrogen,EJ/yr,2025,0
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Other,EJ/yr,2025,0
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Nuclear,EJ/yr,2025,2.628726311
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,2025,6.32593824
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Solar,EJ/yr,2025,1.028338532
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Hydro,EJ/yr,2030,1.150396431
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,2030,0.14525695
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,2030,0
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,2030,0.713895669
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,2030,0.487016362
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,2030,0
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Wind,EJ/yr,2030,3.205173997
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Hydrogen,EJ/yr,2030,0
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Other,EJ/yr,2030,0
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Nuclear,EJ/yr,2030,2.440618071
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,2030,5.939858526
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Solar,EJ/yr,2030,1.330776952
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Hydro,EJ/yr,2035,1.137944868
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,2035,0.14523335
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,2035,0
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,2035,0.515921288
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,2035,0.487016362
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,2035,0
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Wind,EJ/yr,2035,4.925666774
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Hydrogen,EJ/yr,2035,0
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Other,EJ/yr,2035,0
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Nuclear,EJ/yr,2035,0.272904983
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,2035,5.954394077
IPM-NRDC,IRA,United States,Secondary Energy|Electricity|Solar,EJ/yr,2035,2.459379104
IPM-NRDC,No IRA,United States,Secondary Energy|Electricity|Hydro,EJ/yr,2025,1.108977751
IPM-NRDC,No IRA,United States,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,2025,0.147678733
IPM-NRDC,No IRA,United States,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,2025,0
IPM-NRDC,No IRA,United States,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,2025,1.749675652
IPM-NRDC,No IRA,United States,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,2025,0.061083427
IPM-NRDC,No IRA,United States,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,2025,0
IPM-NRDC,No IRA,United States,Secondary Energy|Electricity|Wind,EJ/yr,2025,2.350052932
IPM-NRDC,No IRA,United States,Secondary Energy|Electricity|Hydrogen,EJ/yr,2025,0
IPM-NRDC,No IRA,United States,Secondary Energy|Electricity|Other,EJ/yr,2025,0
IPM-NRDC,No IRA,United States,Secondary Energy|Electricity|Nuclear,EJ/yr,2025,2.599350291
IPM-NRDC,No IRA,United States,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,2025,6.019263234
IPM-NRDC,No IRA,United States,Secondary Energy|Electricity|Solar,EJ/yr,2025,1.092281108
IPM-NRDC,No IRA,United States,Secondary Energy|Electricity|Hydro,EJ/yr,2030,1.127390828
IPM-NRDC,No IRA,United States,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,2030,0.150409811
IPM-NRDC,No IRA,United States,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,2030,0
IPM-NRDC,No IRA,United States,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,2030,1.302332473
