"model","scenario","unit","year","datasrc","variable","region","value"
"NEMS-OP","IRA","Mt CO2/yr",2030,"OP-NEMS IRA 5cenario outputs w retire 07-19-23 - June cases.xlsx","Emissions|CO2|Energy|Demand|Buildings","United States",556.31047
"NEMS-OP","IRA","Mt CO2/yr",2030,"OP-NEMS IRA 5cenario outputs w retire 07-19-23 - June cases.xlsx","Emissions|CO2|Energy|Demand|Transportation","United States",1606.871304
"NEMS-OP","IRA","Mt CO2/yr",2030,"OP-NEMS IRA 5cenario outputs w retire 07-19-23 - June cases.xlsx","Emissions|CO2|Energy|Supply|Electricity","United States",660.642334
"NEMS-OP","IRA","Mt CO2/yr",2035,"OP-NEMS IRA 5cenario outputs w retire 07-19-23 - June cases.xlsx","Emissions|CO2|Energy|Demand|Buildings","United States",545.058136
"NEMS-OP","IRA","Mt CO2/yr",2035,"OP-NEMS IRA 5cenario outputs w retire 07-19-23 - June cases.xlsx","Emissions|CO2|Energy|Demand|Transportation","United States",1430.762993
"NEMS-OP","IRA","Mt CO2/yr",2035,"OP-NEMS IRA 5cenario outputs w retire 07-19-23 - June cases.xlsx","Emissions|CO2|Energy|Supply|Electricity","United States",417.400726
"NEMS-OP","No IRA","Mt CO2/yr",2030,"OP-NEMS IRA 5cenario outputs w retire 07-19-23 - June cases.xlsx","Emissions|CO2|Energy|Demand|Buildings","United States",569.869141
"NEMS-OP","No IRA","Mt CO2/yr",2030,"OP-NEMS IRA 5cenario outputs w retire 07-19-23 - June cases.xlsx","Emissions|CO2|Energy|Demand|Transportation","United States",1666.071442
"NEMS-OP","No IRA","Mt CO2/yr",2030,"OP-NEMS IRA 5cenario outputs w retire 07-19-23 - June cases.xlsx","Emissions|CO2|Energy|Supply|Electricity","United States",1040.891113
"NEMS-OP","No IRA","Mt CO2/yr",2035,"OP-NEMS IRA 5cenario outputs w retire 07-19-23 - June cases.xlsx","Emissions|CO2|Energy|Demand|Buildings","United States",563.141021
"NEMS-OP","No IRA","Mt CO2/yr",2035,"OP-NEMS IRA 5cenario outputs w retire 07-19-23 - June cases.xlsx","Emissions|CO2|Energy|Demand|Transportation","United States",1538.625976
"NEMS-OP","No IRA","Mt CO2/yr",2035,"OP-NEMS IRA 5cenario outputs w retire 07-19-23 - June cases.xlsx","Emissions|CO2|Energy|Supply|Electricity","United States",958.780945
"NEMS-OP","IRA","Mt CO2/yr",2030,"calculated","Emissions|CO2|Energy|Demand|Industry and Fuel Production","United States",942.791809
"NEMS-OP","IRA","Mt CO2/yr",2035,"calculated","Emissions|CO2|Energy|Demand|Industry and Fuel Production","United States",943.156929
"NEMS-OP","No IRA","Mt CO2/yr",2030,"calculated","Emissions|CO2|Energy|Demand|Industry and Fuel Production","United States",984.914094
"NEMS-OP","No IRA","Mt CO2/yr",2035,"calculated","Emissions|CO2|Energy|Demand|Industry and Fuel Production","United States",988.499573
"NEMS-RHG","IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2","United States",3731.42341620699
"NEMS-RHG","IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Buildings","United States",571.073624999999
"NEMS-RHG","IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Industry and Fuel Production","United States",815.411926078259
"NEMS-RHG","IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Transportation","United States",1492.66084764101
"NEMS-RHG","IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Supply|Electricity","United States",482.81984665288
"NEMS-RHG","IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2","United States",3572.57563575272
"NEMS-RHG","IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Buildings","United States",561.914415999999
"NEMS-RHG","IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Industry and Fuel Production","United States",702.814265742925
"NEMS-RHG","IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Transportation","United States",1346.04203961727
"NEMS-RHG","IRA","Mt CO2/yr",2035,"bistline_ira_tall.csv","Emissions|CO2|Energy|Supply|Electricity","United States",588.535589412373
"NEMS-RHG","No IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2","United States",4267.33793080568
"NEMS-RHG","No IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Buildings","United States",571.501766999999
"NEMS-RHG","No IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Industry and Fuel Production","United States",822.693681875426
"NEMS-RHG","No IRA","Mt CO2/yr",2030,"bistline_ira_tall.csv","Emissions|CO2|Energy|Demand|Transportation","United States",1511.19953267439
