scenario,model,variable,unit,year,value,region
Reference,ReEDS-NREL,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2030,NA,United States
IRA,REGEN-EPRI,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2030,929.8777997,United States
Reference,REGEN-EPRI,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2030,945.3716374,United States
IRA,RIO-REPEAT,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2030,737,United States
Reference,RIO-REPEAT,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2030,833,United States
IRA,EPS-EI,Emissions|CO2|Industrial Processes,Mt CO2/yr,2030,301.967622,United States
Reference,EPS-EI,Emissions|CO2|Industrial Processes,Mt CO2/yr,2030,369.25816,United States
IRA,GCAM-CGS,Emissions|CO2|Industrial Processes,Mt CO2/yr,2030,27.76058167,United States
Reference,GCAM-CGS,Emissions|CO2|Industrial Processes,Mt CO2/yr,2030,33.40306722,United States
IRA,Haiku-RFF,Emissions|CO2|Industrial Processes,Mt CO2/yr,2030,NA,United States
Reference,Haiku-RFF,Emissions|CO2|Industrial Processes,Mt CO2/yr,2030,NA,United States
IRA,IPM-NRDC,Emissions|CO2|Industrial Processes,Mt CO2/yr,2030,NA,United States
Reference,IPM-NRDC,Emissions|CO2|Industrial Processes,Mt CO2/yr,2030,NA,United States
IRA,MARKAL-NETL,Emissions|CO2|Industrial Processes,Mt CO2/yr,2030,29.76,United States
Reference,MARKAL-NETL,Emissions|CO2|Industrial Processes,Mt CO2/yr,2030,29.54,United States
IRA,NEMS-RHG,Emissions|CO2|Industrial Processes,Mt CO2/yr,2030,369.4571708,United States
Reference,NEMS-RHG,Emissions|CO2|Industrial Processes,Mt CO2/yr,2030,382.3443772,United States
IRA,ReEDS-NREL,Emissions|CO2|Industrial Processes,Mt CO2/yr,2030,NA,United States
Reference,ReEDS-NREL,Emissions|CO2|Industrial Processes,Mt CO2/yr,2030,NA,United States
IRA,REGEN-EPRI,Emissions|CO2|Industrial Processes,Mt CO2/yr,2030,NA,United States
Reference,REGEN-EPRI,Emissions|CO2|Industrial Processes,Mt CO2/yr,2030,NA,United States
