"","scenario","model","variable","unit","year","value"
"126","Reference","RIO-REPEAT","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2030",638
"127","IRA","EPS-EI","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2030",602.7
"128","Reference","EPS-EI","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2030",1201.47
"129","IRA","GCAM-CGS","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2030",679.659054813217
"130","Reference","GCAM-CGS","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2030",1274.91028267317
"131","IRA","Haiku-RFF","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2030",750.56867651652
"132","Reference","Haiku-RFF","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2030",1238.94513602116
"133","IRA","IPM-NRDC","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2030",827.389198560903
"134","Reference","IPM-NRDC","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2030",1075.92232861268
"135","IRA","MARKAL-NETL","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2030",1310.53
"136","Reference","MARKAL-NETL","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2030",1379.59
"137","IRA","NEMS-RHG","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2030",482.81984665288
"138","Reference","NEMS-RHG","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2030",979.598572044581
"139","IRA","ReEDS-NREL","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2030",524.455517672244
"140","Reference","ReEDS-NREL","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2030",1384.13260094904
"141","IRA","REGEN-EPRI","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2030",999.666254194768
"142","Reference","REGEN-EPRI","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2030",1125.0574146029
"143","IRA","RIO-REPEAT","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2030",743
"144","Reference","RIO-REPEAT","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2030",981
"145","IRA","EPS-EI","Emissions|CO2|Energy|Demand|Industry","Mt-CO2e/yr","2030",838.782358
"146","Reference","EPS-EI","Emissions|CO2|Energy|Demand|Industry","Mt-CO2e/yr","2030",845.24494
"147","IRA","GCAM-CGS","Emissions|CO2|Energy|Demand|Industry","Mt-CO2e/yr","2030",1015.73661606983
"148","Reference","GCAM-CGS","Emissions|CO2|Energy|Demand|Industry","Mt-CO2e/yr","2030",1208.99411915652
"149","IRA","Haiku-RFF","Emissions|CO2|Energy|Demand|Industry","Mt-CO2e/yr","2030",NA
"150","Reference","Haiku-RFF","Emissions|CO2|Energy|Demand|Industry","Mt-CO2e/yr","2030",NA
"151","IRA","IPM-NRDC","Emissions|CO2|Energy|Demand|Industry","Mt-CO2e/yr","2030",NA
"152","Reference","IPM-NRDC","Emissions|CO2|Energy|Demand|Industry","Mt-CO2e/yr","2030",NA
"153","IRA","MARKAL-NETL","Emissions|CO2|Energy|Demand|Industry","Mt-CO2e/yr","2030",1096.26
"154","Reference","MARKAL-NETL","Emissions|CO2|Energy|Demand|Industry","Mt-CO2e/yr","2030",1090.35
"155","IRA","NEMS-RHG","Emissions|CO2|Energy|Demand|Industry","Mt-CO2e/yr","2030",815.411926078259
"156","Reference","NEMS-RHG","Emissions|CO2|Energy|Demand|Industry","Mt-CO2e/yr","2030",822.693681875426
"157","IRA","ReEDS-NREL","Emissions|CO2|Energy|Demand|Industry","Mt-CO2e/yr","2030",NA
"158","Reference","ReEDS-NREL","Emissions|CO2|Energy|Demand|Industry","Mt-CO2e/yr","2030",NA
"159","IRA","REGEN-EPRI","Emissions|CO2|Energy|Demand|Industry","Mt-CO2e/yr","2030",929.877799699341
"160","Reference","REGEN-EPRI","Emissions|CO2|Energy|Demand|Industry","Mt-CO2e/yr","2030",945.371637378423
"161","IRA","RIO-REPEAT","Emissions|CO2|Energy|Demand|Industry","Mt-CO2e/yr","2030",737
"162","Reference","RIO-REPEAT","Emissions|CO2|Energy|Demand|Industry","Mt-CO2e/yr","2030",833
"163","IRA","EPS-EI","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2030",301.967622
"164","Reference","EPS-EI","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2030",369.25816
"165","IRA","GCAM-CGS","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2030",27.7605816743108
"166","Reference","GCAM-CGS","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2030",33.403067220462
"167","IRA","Haiku-RFF","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2030",NA
"168","Reference","Haiku-RFF","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2030",NA
"169","IRA","IPM-NRDC","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2030",NA
"170","Reference","IPM-NRDC","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2030",NA
"171","IRA","MARKAL-NETL","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2030",29.76
"172","Reference","MARKAL-NETL","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2030",29.54
"173","IRA","NEMS-RHG","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2030",369.457170834849
"174","Reference","NEMS-RHG","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2030",382.344377211282
"175","IRA","ReEDS-NREL","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2030",NA
"176","Reference","ReEDS-NREL","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2030",NA
"177","IRA","REGEN-EPRI","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2030",NA
"178","Reference","REGEN-EPRI","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2030",NA
"179","IRA","RIO-REPEAT","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2030",NA
"180","Reference","RIO-REPEAT","Emissions|CO2|Industrial Processes","Mt-CO2e/yr","2030",NA
"181","IRA","EPS-EI","Emissions|CO2|Other","Mt-CO2e/yr","2030",11.99862
"182","Reference","EPS-EI","Emissions|CO2|Other","Mt-CO2e/yr","2030",71.0221
"183","IRA","GCAM-CGS","Emissions|CO2|Other","Mt-CO2e/yr","2030",NA
"184","Reference","GCAM-CGS","Emissions|CO2|Other","Mt-CO2e/yr","2030",NA
"185","IRA","Haiku-RFF","Emissions|CO2|Other","Mt-CO2e/yr","2030",NA
"186","Reference","Haiku-RFF","Emissions|CO2|Other","Mt-CO2e/yr","2030",NA
"187","IRA","IPM-NRDC","Emissions|CO2|Other","Mt-CO2e/yr","2030",NA
"188","Reference","IPM-NRDC","Emissions|CO2|Other","Mt-CO2e/yr","2030",NA
"189","IRA","MARKAL-NETL","Emissions|CO2|Other","Mt-CO2e/yr","2030",0
"190","Reference","MARKAL-NETL","Emissions|CO2|Other","Mt-CO2e/yr","2030",0
"191","IRA","NEMS-RHG","Emissions|CO2|Other","Mt-CO2e/yr","2030",NA
"192","Reference","NEMS-RHG","Emissions|CO2|Other","Mt-CO2e/yr","2030",NA
"193","IRA","ReEDS-NREL","Emissions|CO2|Other","Mt-CO2e/yr","2030",NA
"194","Reference","ReEDS-NREL","Emissions|CO2|Other","Mt-CO2e/yr","2030",NA
"195","IRA","REGEN-EPRI","Emissions|CO2|Other","Mt-CO2e/yr","2030",NA
"196","Reference","REGEN-EPRI","Emissions|CO2|Other","Mt-CO2e/yr","2030",NA
"197","IRA","RIO-REPEAT","Emissions|CO2|Other","Mt-CO2e/yr","2030",NA
"198","Reference","RIO-REPEAT","Emissions|CO2|Other","Mt-CO2e/yr","2030",NA
"199","IRA","EPS-EI","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2030",1380.345127
"200","Reference","EPS-EI","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2030",1401.480757
"201","IRA","GCAM-CGS","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2030",1357.17964232201
"202","Reference","GCAM-CGS","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2030",1464.78688682719
"203","IRA","Haiku-RFF","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2030",NA
"204","Reference","Haiku-RFF","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2030",NA
"205","IRA","IPM-NRDC","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2030",NA
"206","Reference","IPM-NRDC","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2030",NA
"207","IRA","MARKAL-NETL","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2030",1404.46
"208","Reference","MARKAL-NETL","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2030",1403.91
"209","IRA","NEMS-RHG","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2030",1492.66084764101
"210","Reference","NEMS-RHG","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2030",1511.19953267439
"211","IRA","ReEDS-NREL","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2030",NA
"212","Reference","ReEDS-NREL","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2030",NA
"213","IRA","REGEN-EPRI","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2030",1499.1674052122
"214","Reference","REGEN-EPRI","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2030",1532.15158500712
"215","IRA","RIO-REPEAT","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2030",1520
"216","Reference","RIO-REPEAT","Emissions|CO2|Energy|Demand|Transportation","Mt-CO2e/yr","2030",1598
"217","IRA","EPS-EI","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2035",511.954
"218","Reference","EPS-EI","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2035",550.902
"219","IRA","GCAM-CGS","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2035",446.248934102666
"220","Reference","GCAM-CGS","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2035",504.038720770186
"221","IRA","Haiku-RFF","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2035",NA
"222","Reference","Haiku-RFF","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2035",NA
"223","IRA","IPM-NRDC","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2035",NA
"224","Reference","IPM-NRDC","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2035",NA
"225","IRA","MARKAL-NETL","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2035",273.55
"226","Reference","MARKAL-NETL","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2035",274.45
"227","IRA","NEMS-RHG","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2035",561.914415999999
"228","Reference","NEMS-RHG","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2035",565.663975999999
"229","IRA","ReEDS-NREL","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2035",NA
"230","Reference","ReEDS-NREL","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2035",NA
"231","IRA","REGEN-EPRI","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2035",468.540959764836
"232","Reference","REGEN-EPRI","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2035",494.918715702622
"233","IRA","RIO-REPEAT","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2035",531
"234","Reference","RIO-REPEAT","Emissions|CO2|Energy|Demand|Buildings","Mt-CO2e/yr","2035",630
"235","IRA","EPS-EI","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2035",336.702
"236","Reference","EPS-EI","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2035",1198.69
"237","IRA","GCAM-CGS","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2035",445.580298326782
"238","Reference","GCAM-CGS","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2035",1293.1152861035
"239","IRA","Haiku-RFF","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2035",720.812522721885
"240","Reference","Haiku-RFF","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2035",1101.89628561313
"241","IRA","IPM-NRDC","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2035",772.508012550513
"242","Reference","IPM-NRDC","Emissions|CO2|Energy|Supply|Electricity","Mt-CO2e/yr","2035",1079.88005163251
