"figure_num","model","scenario","variable","unit","year","label","value"
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Indirect","Mt CO2/yr",2017,"Buildings: Indirect",1223.3
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr",2017,"Other Sectors",789
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production|Indirect","Mt CO2/yr",2017,"Other Sectors",504.4
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation","Mt CO2/yr",2017,"Other Sectors",1780.1
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|Indirect","Mt CO2/yr",2017,"Other Sectors",4.3
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|GHGI Non-Energy and Industrial Process","Mt CO2/yr",2017,"Other Sectors",360
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2018,"Buildings: Direct",584
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Indirect","Mt CO2/yr",2018,"Buildings: Indirect",1247.3
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr",2018,"Other Sectors",813.5
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production|Indirect","Mt CO2/yr",2018,"Other Sectors",501.3
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation","Mt CO2/yr",2018,"Other Sectors",1812.9
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|Indirect","Mt CO2/yr",2018,"Other Sectors",4.8
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|GHGI Non-Energy and Industrial Process","Mt CO2/yr",2018,"Other Sectors",387.8
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2019,"Buildings: Direct",592.1
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Indirect","Mt CO2/yr",2019,"Buildings: Indirect",1136.4
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production","Mt CO2/yr",2019,"Other Sectors",815.9
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Industry and Fuel Production|Indirect","Mt CO2/yr",2019,"Other Sectors",465.5
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation","Mt CO2/yr",2019,"Other Sectors",1816.4
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|Indirect","Mt CO2/yr",2019,"Other Sectors",4.8
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|GHGI Non-Energy and Industrial Process","Mt CO2/yr",2019,"Other Sectors",406.2
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings","Mt CO2/yr",2020,"Buildings: Direct",541.7
"4.1.bldco2_direct_indirect","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Buildings|Indirect","Mt CO2/yr",2020,"Buildings: Indirect",1025.6
