"model","scenario","unit","region","category","year","value","value_2005","percent diff 2005"
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2030,3589.719854,6132.18327,41.4609822318634
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2035,3344.497042,6132.18327,45.4599300976208
"USREP-ReEDS","No IRA","Mt CO2/yr","United States","Economy-Wide.No IRA",2030,4231.719803,6132.18327,30.9916286471327
"USREP-ReEDS","No IRA","Mt CO2/yr","United States","Economy-Wide.No IRA",2035,4012.490192,6132.18327,34.5666948404822
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2030,3294.518897,6132.18327,46.2749439809225
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2035,2984.003895,6132.18327,51.3386380736791
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2030,3391.754436,6132.18327,44.6892846045027
"USREP-ReEDS","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2035,3028.01331,6132.18327,50.6209586916015
"NEMS-OP","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2030,3836.38348433595,6132.18327,37.4385383570581
"NEMS-OP","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2035,3402.58860082152,6132.18327,44.512607484063
"NEMS-OP","No IRA","Mt CO2/yr","United States","Economy-Wide.No IRA",2030,4330.458905,6132.18327,29.3814500589771
"NEMS-OP","No IRA","Mt CO2/yr","United States","Economy-Wide.No IRA",2035,4114.083147,6132.18327,32.9099773138385
"REGEN-EPRI","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2030,3990.38178732904,6132.18327,34.9272255633508
"REGEN-EPRI","IRA","Mt CO2/yr","United States","Economy-Wide.IRA",2035,3224.40184675108,6132.18327,47.4183711611235
"REGEN-EPRI","No IRA","Mt CO2/yr","United States","Economy-Wide.No IRA",2030,4187.81822874878,6132.18327,31.7075494263762
"REGEN-EPRI","No IRA","Mt CO2/yr","United States","Economy-Wide.No IRA",2035,3948.07703792527,6132.18327,35.617106272082
"EPS-EI","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,602.7,2400.1,74.8885463105704
"EPS-EI","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,336.702,2400.1,85.971334527728
"EPS-EI","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,339.282,2400.1,85.863839006708
"EPS-EI","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,308.897,2400.1,87.1298279238365
"EPS-EI","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,669.569,2400.1,72.102454064414
"EPS-EI","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,385.676,2400.1,83.9308362151577
"EPS-EI","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2030,1201.47,2400.1,49.9408357985084
"EPS-EI","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2035,1198.69,2400.1,50.0566643056539
"GCAM-CGS","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,679.659054813217,2400.1,71.6820526305897
"GCAM-CGS","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,445.580298326782,2400.1,81.4349277810599
"GCAM-CGS","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,594.272995537859,2400.1,75.2396568668864
"GCAM-CGS","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,437.138518923095,2400.1,81.7866539342904
"GCAM-CGS","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,763.152178624021,2400.1,68.2033174191067
"GCAM-CGS","IRA","Mt CO2/yr","United States","Electricity.IRA",2035,445.854113821789,2400.1,81.4235192774556
"GCAM-CGS","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2030,1274.91028267317,2400.1,46.8809515156381
"GCAM-CGS","No IRA","Mt CO2/yr","United States","Electricity.No IRA",2035,1293.1152861035,2400.1,46.1224413106329
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Electricity.IRA",2030,837.82059007149,2400.1,65.0922632360531
