"figure_num","model","scenario","unit","variable","label","year","value"
"E.18.GenerationbyModel","Haiku-RFF","IRA","TWh","Secondary Energy|Electricity|Solar","Solar",2030,742.127749560208
"E.18.GenerationbyModel","Haiku-RFF","IRA","TWh","Secondary Energy|Electricity|Wind","Wind",2030,1153.6997116321
"E.18.GenerationbyModel","Haiku-RFF","IRA","TWh","Secondary Energy|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2035,45.2597665045334
"E.18.GenerationbyModel","Haiku-RFF","IRA","TWh","Secondary Energy|Electricity|Coal|w/ CCS","Coal w/ CCS",2035,5.85788011788119
"E.18.GenerationbyModel","Haiku-RFF","IRA","TWh","Secondary Energy|Electricity|Coal|w/o CCS","Coal w/o CCS",2035,499.94158857529
"E.18.GenerationbyModel","Haiku-RFF","IRA","TWh","Secondary Energy|Electricity|Gas|w/o CCS","Gas w/o CCS",2035,667.110192760217
"E.18.GenerationbyModel","Haiku-RFF","IRA","TWh","Secondary Energy|Electricity|Hydro","Hydro",2035,291.719952842971
"E.18.GenerationbyModel","Haiku-RFF","IRA","TWh","Secondary Energy|Electricity|Nuclear","Nuclear",2035,559.284986464126
"E.18.GenerationbyModel","Haiku-RFF","IRA","TWh","Secondary Energy|Electricity|Solar","Solar",2035,849.029487532
"E.18.GenerationbyModel","Haiku-RFF","IRA","TWh","Secondary Energy|Electricity|Wind","Wind",2035,1308.69525879101
"E.18.GenerationbyModel","Haiku-RFF","No IRA","TWh","Secondary Energy|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2030,44.5822515077648
"E.18.GenerationbyModel","Haiku-RFF","No IRA","TWh","Secondary Energy|Electricity|Coal|w/ CCS","Coal w/ CCS",2030,0
"E.18.GenerationbyModel","Haiku-RFF","No IRA","TWh","Secondary Energy|Electricity|Coal|w/o CCS","Coal w/o CCS",2030,873.09047841024
"E.18.GenerationbyModel","Haiku-RFF","No IRA","TWh","Secondary Energy|Electricity|Gas|w/o CCS","Gas w/o CCS",2030,1009.90461398485
"E.18.GenerationbyModel","Haiku-RFF","No IRA","TWh","Secondary Energy|Electricity|Hydro","Hydro",2030,292.25057060589
"E.18.GenerationbyModel","Haiku-RFF","No IRA","TWh","Secondary Energy|Electricity|Nuclear","Nuclear",2030,704.976853800082
"E.18.GenerationbyModel","Haiku-RFF","No IRA","TWh","Secondary Energy|Electricity|Solar","Solar",2030,449.287260028263
"E.18.GenerationbyModel","Haiku-RFF","No IRA","TWh","Secondary Energy|Electricity|Wind","Wind",2030,837.605076794726
"E.18.GenerationbyModel","Haiku-RFF","No IRA","TWh","Secondary Energy|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2035,47.2030413822863
"E.18.GenerationbyModel","Haiku-RFF","No IRA","TWh","Secondary Energy|Electricity|Coal|w/ CCS","Coal w/ CCS",2035,0
"E.18.GenerationbyModel","Haiku-RFF","No IRA","TWh","Secondary Energy|Electricity|Coal|w/o CCS","Coal w/o CCS",2035,793.533109373256
"E.18.GenerationbyModel","Haiku-RFF","No IRA","TWh","Secondary Energy|Electricity|Gas|w/o CCS","Gas w/o CCS",2035,964.011298051969
"E.18.GenerationbyModel","Haiku-RFF","No IRA","TWh","Secondary Energy|Electricity|Hydro","Hydro",2035,291.719952842971
"E.18.GenerationbyModel","Haiku-RFF","No IRA","TWh","Secondary Energy|Electricity|Nuclear","Nuclear",2035,559.284986464126
"E.18.GenerationbyModel","Haiku-RFF","No IRA","TWh","Secondary Energy|Electricity|Solar","Solar",2035,627.757226008482
"E.18.GenerationbyModel","Haiku-RFF","No IRA","TWh","Secondary Energy|Electricity|Wind","Wind",2035,933.982840222636
"E.18.GenerationbyModel","IPM-EPA","IRA","TWh","Secondary Energy|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2030,38.4138307557592
"E.18.GenerationbyModel","IPM-EPA","IRA","TWh","Secondary Energy|Electricity|Coal|w/ CCS","Coal w/ CCS",2030,65.8547062588713
"E.18.GenerationbyModel","IPM-EPA","IRA","TWh","Secondary Energy|Electricity|Coal|w/o CCS","Coal w/o CCS",2030,242.783244199328
"E.18.GenerationbyModel","IPM-EPA","IRA","TWh","Secondary Energy|Electricity|Gas|w/ CCS","Gas w/ CCS",2030,49.5441656408502
"E.18.GenerationbyModel","IPM-EPA","IRA","TWh","Secondary Energy|Electricity|Gas|w/o CCS","Gas w/o CCS",2030,1754.28763317851
"E.18.GenerationbyModel","IPM-EPA","IRA","TWh","Secondary Energy|Electricity|Hydro","Hydro",2030,302.746861468208
"E.18.GenerationbyModel","IPM-EPA","IRA","TWh","Secondary Energy|Electricity|Nuclear","Nuclear",2030,733.716339833551
"E.18.GenerationbyModel","IPM-EPA","IRA","TWh","Secondary Energy|Electricity|Solar","Solar",2030,488.951608612843
"E.18.GenerationbyModel","IPM-EPA","IRA","TWh","Secondary Energy|Electricity|Wind","Wind",2030,844.081903522
"E.18.GenerationbyModel","IPM-EPA","IRA","TWh","Secondary Energy|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2035,37.1896129654146
