"model","scenario","variable_rename","year","value","figure_num"
"AEO.2023","IRA","Total Industry Emissions",2025,1318.057739,"Ap.5.IndEmis"
"AEO.2023","IRA","Total Industry Emissions",2030,1211.789795,"Ap.5.IndEmis"
"AEO.2023","IRA","Total Industry Emissions",2035,1223.267578,"Ap.5.IndEmis"
"AEO.2023","IRA","Total Industry Emissions",2022,1392.85144,"Ap.5.IndEmis"
"AEO.2023","IRA","Total Industry Emissions",2023,1350.519165,"Ap.5.IndEmis"
"AEO.2023","IRA","Total Industry Emissions",2024,1334.820679,"Ap.5.IndEmis"
"AEO.2023","IRA","Total Industry Emissions",2026,1298.450439,"Ap.5.IndEmis"
"AEO.2023","IRA","Total Industry Emissions",2027,1270.626343,"Ap.5.IndEmis"
"AEO.2023","IRA","Total Industry Emissions",2028,1246.968384,"Ap.5.IndEmis"
"AEO.2023","IRA","Total Industry Emissions",2029,1226.747803,"Ap.5.IndEmis"
"AEO.2023","IRA","Total Industry Emissions",2031,1209.937988,"Ap.5.IndEmis"
"AEO.2023","IRA","Total Industry Emissions",2032,1215.535034,"Ap.5.IndEmis"
"AEO.2023","IRA","Total Industry Emissions",2033,1219.532959,"Ap.5.IndEmis"
"AEO.2023","IRA","Total Industry Emissions",2034,1221.428101,"Ap.5.IndEmis"
"AEO.2023","IRA","Total Industry Emissions",2021,1220.7,"Ap.5.IndEmis"
"EPA-GHGI","Historic","Total Industry Emissions",2021,1220.7,"Ap.5.IndEmis"
