"figure_num","model","scenario","variable","unit","label","year","value"
"F.3.1.gen_bytype","MARKAL-NETL","No IRA","Secondary Energy|Electricity","TWh","Total_Low",2030,2133.15461263344
"F.3.1.gen_bytype","NEMS-RHG","No IRA","Secondary Energy|Electricity","TWh","Total_Low",2030,2331.2052537172
"F.3.1.gen_bytype","NEMS-OP","No IRA","Secondary Energy|Electricity","TWh","Total_Low",2030,2345.2192747648
"F.3.1.gen_bytype","REGEN-EPRI","No IRA","Secondary Energy|Electricity","TWh","Total_Low",2030,2081.07200060136
"F.3.1.gen_bytype","RIO-REPEAT","No IRA","Secondary Energy|Electricity","TWh","Total_Low",2030,2791.271
"F.3.1.gen_bytype","ReEDS-NREL","No IRA","Secondary Energy|Electricity","TWh","Total_Low",2030,2137.62207060211
"F.3.1.gen_bytype","NEMS-EIA","No IRA","Secondary Energy|Electricity","TWh","Total_Low",2030,2176.4560710732
"F.3.1.gen_bytype","USREP-ReEDS","IRA","Secondary Energy|Electricity","TWh","Total_Low",2030,2993.78080012524
"F.3.1.gen_bytype","EPS-EI","IRA","Secondary Energy|Electricity","TWh","Total_Low",2030,3559.6321031516
"F.3.1.gen_bytype","GCAM-CGS","IRA","Secondary Energy|Electricity","TWh","Total_Low",2030,3352.79362902031
"F.3.1.gen_bytype","GCAM-PNNL","IRA","Secondary Energy|Electricity","TWh","Total_Low",2030,3734.73338695501
"F.3.1.gen_bytype","Haiku-RFF","IRA","Secondary Energy|Electricity","TWh","Total_Low",2030,2747.05914275625
"F.3.1.gen_bytype","IPM-NRDC","IRA","Secondary Energy|Electricity","TWh","Total_Low",2030,2267.8699893788
"F.3.1.gen_bytype","IPM-EPA","IRA","Secondary Energy|Electricity","TWh","Total_Low",2030,2355.22657935679
"F.3.1.gen_bytype","MARKAL-NETL","IRA","Secondary Energy|Electricity","TWh","Total_Low",2030,2268.18199454414
"F.3.1.gen_bytype","NEMS-RHG","IRA","Secondary Energy|Electricity","TWh","Total_Low",2030,3105.803827721
"F.3.1.gen_bytype","NEMS-OP","IRA","Secondary Energy|Electricity","TWh","Total_Low",2030,3112.38596139695
"F.3.1.gen_bytype","REGEN-EPRI","IRA","Secondary Energy|Electricity","TWh","Total_Low",2030,2286.42341031496
"F.3.1.gen_bytype","RIO-REPEAT","IRA","Secondary Energy|Electricity","TWh","Total_Low",2030,3583.6318
"F.3.1.gen_bytype","ReEDS-NREL","IRA","Secondary Energy|Electricity","TWh","Total_Low",2030,3393.83268321759
"F.3.1.gen_bytype","NEMS-EIA","IRA","Secondary Energy|Electricity","TWh","Total_Low",2030,2858.19946565839
"F.3.1.gen_bytype","USREP-ReEDS","No IRA","Secondary Energy|Electricity","TWh","Total_Low",2035,2308.87802255319
"F.3.1.gen_bytype","EPS-EI","No IRA","Secondary Energy|Electricity","TWh","Total_Low",2035,2414.2100955
"F.3.1.gen_bytype","GCAM-CGS","No IRA","Secondary Energy|Electricity","TWh","Total_Low",2035,2298.75128139121
"F.3.1.gen_bytype","GCAM-PNNL","No IRA","Secondary Energy|Electricity","TWh","Total_Low",2035,3486.96896897222
"F.3.1.gen_bytype","Haiku-RFF","No IRA","Secondary Energy|Electricity","TWh","Total_Low",2035,2286.84102454342
"F.3.1.gen_bytype","IPM-NRDC","No IRA","Secondary Energy|Electricity","TWh","Total_Low",2035,1858.86661416088
"F.3.1.gen_bytype","IPM-EPA","No IRA","Secondary Energy|Electricity","TWh","Total_Low",2035,2293.40912091051
"F.3.1.gen_bytype","MARKAL-NETL","No IRA","Secondary Energy|Electricity","TWh","Total_Low",2035,2169.55279452974
"F.3.1.gen_bytype","NEMS-RHG","No IRA","Secondary Energy|Electricity","TWh","Total_Low",2035,2604.4176400424
"F.3.1.gen_bytype","NEMS-OP","No IRA","Secondary Energy|Electricity","TWh","Total_Low",2035,2663.9826475934
