"figure_num","model","scenario","variable","unit","year","variable_rename","value"
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",2000,"Aircraft",197.4
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",2001,"Aircraft",192
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",2002,"Aircraft",187.5
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",2003,"Aircraft",181.3
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",2004,"Aircraft",188.7
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",2005,"Aircraft",191.7
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",2006,"Aircraft",184.5
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",2007,"Aircraft",181.6
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",2008,"Aircraft",175
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",2009,"Aircraft",155.9
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",2010,"Aircraft",153.3
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",2011,"Aircraft",148.4
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",2012,"Aircraft",145
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",2013,"Aircraft",148.6
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",2014,"Aircraft",149.8
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",2015,"Aircraft",159
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",2016,"Aircraft",167.4
"3.2.trnco2_breakout","EPA-GHGI","Historic","Emissions|CO2|Energy|Demand|Transportation|GHGI|Aircraft Total","Mt CO2/yr",2017,"Aircraft",173.1
