"model","scenario","unit","year","datasrc","variable","region","value","figure_type","figure_no","title_name","flip_sign","variable_rename","regions","models","years","scenarios","type","position","x","y","facet1","facet2","color","page_filter","scales","stagger"
"RIO-REPEAT","IRA","GW/yr",2035,"bistline_ira_tall.csv","Capacity Retirements|Electricity|Nuclear|Average 2021-2035","United States",-1.98571428571429,"stackbar",6,"Capacity Additions Alt",0,"Nuclear","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0.1
"ReEDS-NREL","IRA","GW/yr",2035,"bistline_ira_tall.csv","Capacity Additions|Electricity|Coal|w/ CCS|Average 2021-2035","United States",2.92796034041441,"stackbar",6,"Capacity Additions Alt",0,"Coal CCS","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"ReEDS-NREL","IRA","GW/yr",2035,"bistline_ira_tall.csv","Capacity Additions|Electricity|Gas|w/o CCS|Average 2021-2035","United States",1.58695914628029,"stackbar",6,"Capacity Additions Alt",0,"Gas","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",-0.1
"ReEDS-NREL","IRA","GW/yr",2035,"bistline_ira_tall.csv","Capacity Additions|Electricity|Hydro|Average 2021-2035","United States",0.300450064285714,"stackbar",6,"Capacity Additions Alt",0,"Hydro","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"ReEDS-NREL","IRA","GW/yr",2035,"bistline_ira_tall.csv","Capacity Additions|Electricity|Solar|Average 2021-2035","United States",35.002227654601,"stackbar",6,"Capacity Additions Alt",0,"Solar","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"ReEDS-NREL","IRA","GW/yr",2035,"bistline_ira_tall.csv","Capacity Additions|Electricity|Storage Capacity|Average 2021-2035","United States",10.95698401907,"stackbar",6,"Capacity Additions Alt",0,"Storage","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"ReEDS-NREL","IRA","GW/yr",2035,"bistline_ira_tall.csv","Capacity Additions|Electricity|Wind|Average 2021-2035","United States",21.7286612367996,"stackbar",6,"Capacity Additions Alt",0,"Wind","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0
"ReEDS-NREL","IRA","GW/yr",2035,"bistline_ira_tall.csv","Capacity Retirements|Electricity|Coal|w/o CCS|Average 2021-2035","United States",-13.1582351428571,"stackbar",6,"Capacity Additions Alt",0,"Coal","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0.1
"ReEDS-NREL","IRA","GW/yr",2035,"bistline_ira_tall.csv","Capacity Retirements|Electricity|Gas|w/o CCS|Average 2021-2035","United States",-0.552769063241197,"stackbar",6,"Capacity Additions Alt",0,"Gas","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0.1
"ReEDS-NREL","IRA","GW/yr",2035,"bistline_ira_tall.csv","Capacity Retirements|Electricity|Nuclear|Average 2021-2035","United States",-0.0798571428571429,"stackbar",6,"Capacity Additions Alt",0,"Nuclear","usa","models_leep","fives","ira_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed",0.1
