"variable","unit","model","year","value","version","figure_num","label"
"Capital Cost","Capital Costs (2020$/kW)","REGEN-EPRI","2025",854.7058388,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","REGEN-EPRI","2030",720.8822369,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","REGEN-EPRI","2035",720.8822369,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","RIO-REPEAT","2025",1016.35,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","RIO-REPEAT","2030",992.49,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","RIO-REPEAT","2035",972.52,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2020",1038,"Advanced","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2025",941,"Advanced","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2030",912,"Advanced","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Adv.","2035",891,"Advanced","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2020",1038,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2025",941,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2030",912,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Mod.","2035",891,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2020",1038,"Conservative","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2025",941,"Conservative","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2030",912,"Conservative","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","NREL 2022 ATB - Con.","2035",891,"Conservative","D.2.capitalcosts_bat_ngcc_sol_wnd","NGCC"
"Capital Cost","Capital Costs (2020$/kW)","EPS-EI","2025",1103.54,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","EPS-EI","2030",911.172,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","EPS-EI","2035",832.02,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","GCAM-CGS","2025",1034,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","GCAM-CGS","2030",842,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","GCAM-CGS","2035",790,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","Haiku-RFF","2025",1147.080898,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","Haiku-RFF","2030",929.624804,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","Haiku-RFF","2035",871.9853479,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","IPM-NRDC","2025",1103.976822,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","IPM-NRDC","2030",894.6921166,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","IPM-NRDC","2035",839.2185893,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","NEMS-RHG","2025",1104.724771,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","NEMS-RHG","2030",895.3118545,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","NEMS-RHG","2035",839.4792473,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","ReEDS-NREL","2025",1103.97745,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","ReEDS-NREL","2030",894.6925991,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","ReEDS-NREL","2035",839.2184996,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
"Capital Cost","Capital Costs (2020$/kW)","REGEN-EPRI","2025",1115.062706,"Moderate","D.2.capitalcosts_bat_ngcc_sol_wnd","Battery Storage (4-Hour)"
