"model","scenario","unit","year","datasrc","variable","region","value","figure_type","figure_no","title_name","flip_sign","variable_rename","regions","models","years","scenarios","type","position","x","y","facet1","facet2","color","page_filter","scales"
"EIA","Historic","TWh",2010,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Oil|w/o CCS","United States",37.0602082978937,"stackbar",14,"Hist Generation Mix",0,"Oil","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2010,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Other","United States",30.2293374627096,"stackbar",14,"Hist Generation Mix",0,"Other","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2010,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Solar","United States",1.21215562264083,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2010,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Wind","United States",94.6501907943781,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2011,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Biomass|w/o CCS","United States",37.4482537604252,"stackbar",14,"Hist Generation Mix",0,"Other","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2011,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Coal|w/o CCS","United States",1733.3923646075,"stackbar",14,"Hist Generation Mix",0,"Coal","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2011,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Gas|w/o CCS","United States",1013.66691724201,"stackbar",14,"Hist Generation Mix",0,"Natural Gas","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2011,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Geothermal","United States",15.3157354763274,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2011,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Hydro","United States",319.347969288764,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2011,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Nuclear","United States",790.187208130739,"stackbar",14,"Hist Generation Mix",0,"Nuclear","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2011,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Oil|w/o CCS","United States",30.1815896106592,"stackbar",14,"Hist Generation Mix",0,"Oil","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2011,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Other","United States",30.7872945134106,"stackbar",14,"Hist Generation Mix",0,"Other","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2011,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Solar","United States",1.81765664093068,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2011,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Wind","United States",120.17398932615,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2012,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Biomass|w/o CCS","United States",37.7983081034845,"stackbar",14,"Hist Generation Mix",0,"Other","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2012,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Coal|w/o CCS","United States",1514.01006846588,"stackbar",14,"Hist Generation Mix",0,"Coal","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2012,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Gas|w/o CCS","United States",1225.86755544353,"stackbar",14,"Hist Generation Mix",0,"Natural Gas","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2012,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Geothermal","United States",15.5620881823656,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
"EIA","Historic","TWh",2012,"EIA-EPA-bistline_historic.csv","Secondary Energy|Electricity|Hydro","United States",276.234224664856,"stackbar",14,"Hist Generation Mix",0,"Renewables","usa","models_eia_only","five_twentyone_inclusive","historic_only","single","stack","year","value",NA,NA,"variable_rename","region","fixed"
