"model","year","variable_rename","metric","value"
"NEMS-RHG",2035,"Nuclear","diff",-438.195148419062
"NEMS-RHG",2035,"Solar","value_ira",1409.18026873737
"NEMS-RHG",2035,"Solar","diff",397.506036474627
"NEMS-RHG",2035,"Wind","value_ira",1483.28729313841
"NEMS-RHG",2035,"Wind","diff",665.053850488682
"REGEN-EPRI",2030,"Biomass w/ CCS","value_ira",5.06885065951416
"REGEN-EPRI",2030,"Biomass w/ CCS","diff",5.06885037896367
"REGEN-EPRI",2030,"Biomass w/o CCS","value_ira",56.5623021587358
"REGEN-EPRI",2030,"Biomass w/o CCS","diff",-2.09406106218723
"REGEN-EPRI",2030,"Coal w/ CCS","value_ira",176.440098932329
"REGEN-EPRI",2030,"Coal w/ CCS","diff",176.440098337896
"REGEN-EPRI",2030,"Coal w/o CCS","value_ira",464.649707771397
"REGEN-EPRI",2030,"Coal w/o CCS","diff",-203.592901227298
"REGEN-EPRI",2030,"Gas w/ CCS","value_ira",0.558430190406116
"REGEN-EPRI",2030,"Gas w/ CCS","diff",0.558427562675805
"REGEN-EPRI",2030,"Gas w/o CCS","value_ira",1322.60357958587
"REGEN-EPRI",2030,"Gas w/o CCS","diff",130.909771660865
"REGEN-EPRI",2030,"Hydro","value_ira",277.423349791012
"REGEN-EPRI",2030,"Hydro","diff",18.8770503976128
"REGEN-EPRI",2030,"Hydrogen","value_ira",0.194375099958045
"REGEN-EPRI",2030,"Hydrogen","diff",0.194374777741644
"REGEN-EPRI",2030,"Nuclear","value_ira",781.930816190912
"REGEN-EPRI",2030,"Nuclear","diff",2.74177519534146
"REGEN-EPRI",2030,"Solar","value_ira",548.521054402774
"REGEN-EPRI",2030,"Solar","diff",21.5160552271554
"REGEN-EPRI",2030,"Wind","value_ira",627.43064955113
"REGEN-EPRI",2030,"Wind","diff",-3.47620053993955
"REGEN-EPRI",2035,"Biomass w/ CCS","value_ira",5.06434240761699
"REGEN-EPRI",2035,"Biomass w/ CCS","diff",1.5615081821163
"REGEN-EPRI",2035,"Biomass w/o CCS","value_ira",56.5240236835239
"REGEN-EPRI",2035,"Biomass w/o CCS","diff",-0.916438723411339
"REGEN-EPRI",2035,"Coal w/ CCS","value_ira",176.274395258901
"REGEN-EPRI",2035,"Coal w/ CCS","diff",176.274393995035
"REGEN-EPRI",2035,"Coal w/o CCS","value_ira",150.989817827802
"REGEN-EPRI",2035,"Coal w/o CCS","diff",-443.488480856916
"REGEN-EPRI",2035,"Gas w/ CCS","value_ira",0.560972366706972
"REGEN-EPRI",2035,"Gas w/ CCS","diff",0.560969338983887
"REGEN-EPRI",2035,"Gas w/o CCS","value_ira",871.88563209838
"REGEN-EPRI",2035,"Gas w/o CCS","diff",-493.851829158985
"REGEN-EPRI",2035,"Hydro","value_ira",305.913797923013
"REGEN-EPRI",2035,"Hydro","diff",29.7284588243782
"REGEN-EPRI",2035,"Hydrogen","value_ira",0.0104720330575042
"REGEN-EPRI",2035,"Hydrogen","diff",0.0104718411165269
"REGEN-EPRI",2035,"Nuclear","value_ira",761.35832253056
"REGEN-EPRI",2035,"Nuclear","diff",-21.3302544167576
"REGEN-EPRI",2035,"Solar","value_ira",896.196129069519
"REGEN-EPRI",2035,"Solar","diff",317.749517180495
"REGEN-EPRI",2035,"Wind","value_ira",1367.98572286744
"REGEN-EPRI",2035,"Wind","diff",723.996662146369
"RIO-REPEAT",2030,"Biomass w/o CCS","value_ira",39.999277461024
"RIO-REPEAT",2030,"Biomass w/o CCS","diff",-0.999981936525607
"RIO-REPEAT",2030,"Coal w/o CCS","value_ira",479.991329532288
"RIO-REPEAT",2030,"Coal w/o CCS","diff",-173.996856955454
"RIO-REPEAT",2030,"Gas w/ CCS","value_ira",4.999909682628
"RIO-REPEAT",2030,"Gas w/ CCS","diff",0.9999819365256
"RIO-REPEAT",2030,"Gas w/o CCS","value_ira",806.985422776159
"RIO-REPEAT",2030,"Gas w/o CCS","diff",-164.997019526724
