"figure_num","model","scenario","variable","unit","year","value"
"E.22.elec_share_buildings","NEMS-RHG","% Difference","Economy-Wide","Absolute Difference from No IRA",2025,-0.0605828000000059
"E.22.elec_share_buildings","NEMS-RHG","% Difference","Economy-Wide","Absolute Difference from No IRA",2030,-0.319094100000001
"E.22.elec_share_buildings","NEMS-RHG","% Difference","Economy-Wide","Absolute Difference from No IRA",2035,-0.204945800000004
"E.22.elec_share_buildings","OP-NEMS","% Difference","Economy-Wide","Absolute Difference from No IRA",2020,0
"E.22.elec_share_buildings","OP-NEMS","% Difference","Economy-Wide","Absolute Difference from No IRA",2025,0.00389014137120114
"E.22.elec_share_buildings","OP-NEMS","% Difference","Economy-Wide","Absolute Difference from No IRA",2030,0.159226168510493
"E.22.elec_share_buildings","OP-NEMS","% Difference","Economy-Wide","Absolute Difference from No IRA",2035,0.141941927711393
"E.22.elec_share_buildings","RIO-REPEAT","% Difference","Economy-Wide","Absolute Difference from No IRA",2020,0
"E.22.elec_share_buildings","RIO-REPEAT","% Difference","Economy-Wide","Absolute Difference from No IRA",2025,0.230000000000004
"E.22.elec_share_buildings","RIO-REPEAT","% Difference","Economy-Wide","Absolute Difference from No IRA",2030,2.3
"E.22.elec_share_buildings","RIO-REPEAT","% Difference","Economy-Wide","Absolute Difference from No IRA",2035,4.70000000000001
"E.22.elec_share_buildings","USREP-ReEDS","% Difference","Economy-Wide","Absolute Difference from No IRA",2020,0
"E.22.elec_share_buildings","USREP-ReEDS","% Difference","Economy-Wide","Absolute Difference from No IRA",2025,1.89023952523991
"E.22.elec_share_buildings","USREP-ReEDS","% Difference","Economy-Wide","Absolute Difference from No IRA",2030,4.1089641429519
"E.22.elec_share_buildings","USREP-ReEDS","% Difference","Economy-Wide","Absolute Difference from No IRA",2035,4.6217658356181
"E.22.elec_share_buildings","EPS-EI","% Difference","Economy-Wide","% Difference from No IRA",2020,0
"E.22.elec_share_buildings","EPS-EI","% Difference","Economy-Wide","% Difference from No IRA",2025,1.82974942353642
"E.22.elec_share_buildings","EPS-EI","% Difference","Economy-Wide","% Difference from No IRA",2030,4.00704562522797
"E.22.elec_share_buildings","EPS-EI","% Difference","Economy-Wide","% Difference from No IRA",2035,4.38184197049313
"E.22.elec_share_buildings","GCAM-CGS","% Difference","Economy-Wide","% Difference from No IRA",2020,0
"E.22.elec_share_buildings","GCAM-CGS","% Difference","Economy-Wide","% Difference from No IRA",2025,3.06859205776171
"E.22.elec_share_buildings","GCAM-CGS","% Difference","Economy-Wide","% Difference from No IRA",2030,6.33802816901409
"E.22.elec_share_buildings","GCAM-CGS","% Difference","Economy-Wide","% Difference from No IRA",2035,4.40677966101695
"E.22.elec_share_buildings","GCAM-PNNL","% Difference","Economy-Wide","% Difference from No IRA",2020,0
"E.22.elec_share_buildings","GCAM-PNNL","% Difference","Economy-Wide","% Difference from No IRA",2025,1.71520366591472
"E.22.elec_share_buildings","GCAM-PNNL","% Difference","Economy-Wide","% Difference from No IRA",2030,-2.4211304021981
"E.22.elec_share_buildings","GCAM-PNNL","% Difference","Economy-Wide","% Difference from No IRA",2035,-3.04569009236001
"E.22.elec_share_buildings","NEMS-RHG","% Difference","Economy-Wide","% Difference from No IRA",2020,0
"E.22.elec_share_buildings","NEMS-RHG","% Difference","Economy-Wide","% Difference from No IRA",2025,-0.12841463926041
"E.22.elec_share_buildings","NEMS-RHG","% Difference","Economy-Wide","% Difference from No IRA",2030,-0.675700804527633
"E.22.elec_share_buildings","NEMS-RHG","% Difference","Economy-Wide","% Difference from No IRA",2035,-0.427743484595443
"E.22.elec_share_buildings","OP-NEMS","% Difference","Economy-Wide","% Difference from No IRA",2020,0
"E.22.elec_share_buildings","OP-NEMS","% Difference","Economy-Wide","% Difference from No IRA",2025,0.00825925083604262
"E.22.elec_share_buildings","OP-NEMS","% Difference","Economy-Wide","% Difference from No IRA",2030,0.337893121753601
"E.22.elec_share_buildings","OP-NEMS","% Difference","Economy-Wide","% Difference from No IRA",2035,0.296627676623998
"E.22.elec_share_buildings","RIO-REPEAT","% Difference","Economy-Wide","% Difference from No IRA",2020,0
"E.22.elec_share_buildings","RIO-REPEAT","% Difference","Economy-Wide","% Difference from No IRA",2025,0.478767693588684
"E.22.elec_share_buildings","RIO-REPEAT","% Difference","Economy-Wide","% Difference from No IRA",2030,4.68145735802971
"E.22.elec_share_buildings","RIO-REPEAT","% Difference","Economy-Wide","% Difference from No IRA",2035,9.3235469152946
"E.22.elec_share_buildings","USREP-ReEDS","% Difference","Economy-Wide","% Difference from No IRA",2020,0
"E.22.elec_share_buildings","USREP-ReEDS","% Difference","Economy-Wide","% Difference from No IRA",2025,3.4582262799903
"E.22.elec_share_buildings","USREP-ReEDS","% Difference","Economy-Wide","% Difference from No IRA",2030,7.14839932204283
"E.22.elec_share_buildings","USREP-ReEDS","% Difference","Economy-Wide","% Difference from No IRA",2035,7.58314615652553
