"model","scenario","year","value","variable","label","figure_num"
"OP-NEMS","No IRA",2025,0.403380524187557,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"OP-NEMS","No IRA",2030,0.971446908693599,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"OP-NEMS","No IRA",2035,1.95439055800989,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"USREP-ReEDS","No IRA",2025,0.36373661476625,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"USREP-ReEDS","No IRA",2030,1.90255704741305,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"USREP-ReEDS","No IRA",2035,3.98551424811989,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"EPS-EI","No IRA",2025,0.9483943,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"EPS-EI","No IRA",2030,3.1970151,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"EPS-EI","No IRA",2035,6.4558501,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"GCAM-CGS","No IRA",2025,0.79,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"GCAM-CGS","No IRA",2030,2,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"GCAM-CGS","No IRA",2035,3.4,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"NEMS-RHG","No IRA",2025,0.4295712,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"NEMS-RHG","No IRA",2030,1.1769237,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"NEMS-RHG","No IRA",2035,2.417133,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"RIO-REPEAT","No IRA",2025,1.09,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"RIO-REPEAT","No IRA",2030,4.14,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"RIO-REPEAT","No IRA",2035,9.61,"Electricity Share","Transportation","F.1.1.electricity_share_final_energy"
"EPS-EI","IRA",2020,47,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"GCAM-CGS","IRA",2020,47,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"NEMS-RHG","IRA",2020,47,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"RIO-REPEAT","IRA",2020,47,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
